id,category,question
1,Coding,"문자열 배열 dates[]가 주어졌을 때, 이 날짜들을 오름차순으로 정렬하는 작업을 수행하세요. 각 날짜는 dd/mm/yyyy 형식입니다."
2,Coding,"0, 1, 2로 이루어진 배열을 정렬하세요."
3,Coding,"숫자가 Bleak한지 확인하세요."
4,Coding,"후위 순서(Postorder)로부터 이진 탐색 트리(BST)를 생성하세요."
5,Coding,"주어진 문자열에서 공백을 제거하세요."
6,Coding,"주어진 배열에서 최소 절댓값을 가지는 숫자들의 쌍을 출력하세요."
7,Tech,"가장 빠른 정렬 기법을 구현하세요."
8,Tech,"C++에서 클래스와 객체란 무엇인가요? 예시를 들어 설명하세요."
9,Tech,"static이란 무엇이며 그 용도는 무엇인가요? 실제 생활에서 이를 사용할 수 있는 예시를 주세요."
10,Tech,"상속의 용도는 무엇인가요?"
11,Tech,"인증(Authentication)과 권한 부여(Authorization)의 차이점은 무엇인가요?"
12,Tech,"주어진 문장에서 길이가 가장 길고 짝수인 단어를 찾으세요."
13,Techtwo,"키의 종류에 대해 설명하세요."
14,Techtwo,"인덱스와 인덱스의 종류에 대해 설명하세요."
15,Techtwo,"뷰(View)란 무엇이며, 어디에 저장되나요?"
16,Techtwo,"교착 상태(Deadlock)란 무엇인가요?"
17,Techtwo,"교착 상태를 방지하는 방법을 설명하세요. 은행가 알고리즘(Banker's Algorithm)을 설명하세요."
18,Techtwo,"디스크 스케줄링 알고리즘에 대해 설명하세요."
19,Techtwo,"주어진 데이터 스트림에 대해 데이터를 더하는 작업을 수행하세요."
