id,category,question
1,Coding,"이진 트리가 이진 탐색 트리(BST)인지 아닌지 확인하는 프로그램을 작성하세요."
2,Coding,"정수의 자릿수를 반전시키는 프로그램을 작성하세요."
3,Coding,"과거 또는 미래의 특정 날짜에 대해 요일을 계산하는 함수를 작성하세요."
4,Coding,"이진 트리와 노드의 데이터 값이 주어졌을 때, 주어진 노드의 사촌 노드들의 합을 구하세요. 주어진 노드에 사촌 노드가 없다면 -1을 반환하세요."
5,Coding,"양의 정수 N이 주어졌을 때, N을 가장 가까운 10의 배수로 반올림하는 작업을 수행하세요. 숫자는 매우 클 수 있으며 1000자리 이상의 숫자를 포함할 수 있습니다."
6,Coding,"ATM 기계에서, 출금할 금액과 ATM에서 사용할 수 있는 몇 가지 지폐가 주어졌을 때, 그 금액을 출금할 수 있는 방법의 수를 구하세요."
7,Coding,"두 개의 연결 리스트가 주어졌을 때, 각 연결 리스트는 숫자를 나타냅니다. 예를 들어, 길이가 3인 연결 리스트 2->4->1은 숫자 241을 나타냅니다. 이 두 숫자의 합을 계산하는 함수를 작성하고, 그 결과는 연결 리스트로 반환하세요."
8,Coding,"두 개의 정수 배열 'arr1'과 'arr2'가 주어졌을 때, 배열에서 한 번만 등장하는 요소들의 합을 구하는 함수를 작성하세요. 두 배열이 모두 null인 경우에는 -1을 반환하고, 한 배열이 null이면 다른 배열의 모든 요소들의 합을 반환하세요."
9,Coding,"두 개의 정수 배열 'valarr'와 'indexarr'가 주어졌을 때, indexarr에 따라 valarr를 순열하여 수정된 배열을 반환하는 함수를 구현하세요."
10,Coding,"연속된 숫자들의 문자열과 숫자 Y가 주어졌을 때, 각 집합이 다음 규칙을 따르는 최소 집합의 수를 구하세요: 집합은 연속된 숫자를 포함해야 하며, 각 숫자는 한 번만 사용될 수 있습니다. 집합의 숫자는 Y를 초과할 수 없습니다."
11,Coding,"두 숫자 n, m이 주어졌을 때, n에 가장 가까운 m의 배수를 구하세요."
12,Coding,"문자열이 주어졌을 때, 0,1,A,B,C만 포함되며 A=AND, B=OR, C=XOR으로 계산하는 문자열을 왼쪽에서 오른쪽으로 계산하세요. 우선순위는 없습니다."
13,Coding,"주어진 숫자 집합에서 가장 긴 등차수열(AP)의 길이를 구하세요."
14,Coding,"주어진 문자열에서 단어의 순서를 뒤집는 프로그램을 작성하세요."
15,Coding,"양의 정수와 음의 정수가 포함된 배열이 주어졌을 때, 최대 곱셈 부분 배열의 곱을 구하세요. 예상 시간 복잡도는 O(n)이고, 추가 공간은 O(1)이어야 합니다."
16,Coding,"주어진 배열이 메모리 크기를 나타내며 시스템에서 필요한 메모리는 2의 거듭제곱으로만 표현될 수 있습니다. 시스템에서 필요한 메모리 크기를 반환하세요. 예: arr = {2,1,4,5}, 총합 = 12, 따라서 메모리 요구량 = 16."
17,Coding,"두 문자열이 주어졌을 때, 첫 번째 문자열을 수정하여 두 번째 문자열의 공통 문자들을 제거하고, 두 문자열의 고유한 문자를 이어서 출력하세요. 예: 첫 번째 문자열 - 'aacdb', 두 번째 문자열 - 'gafd' 출력 – 'cbgf'."
18,Coding,"연결 리스트가 주어졌을 때, 홀수 위치와 짝수 위치의 노드를 분리하여 홀수 위치의 노드는 앞에 배치하고 짝수 위치의 노드는 뒤에 역순으로 배치하세요. 예: 연결 리스트: 1 -> 2 -> 3 -> 4 -> 5 -> 6 출력: 1 -> 3 -> 5 -> 6 -> 4 -> 2."
19,Coding,"주어진 JSON 문자열의 최대 깊이를 구하는 프로그램을 작성하세요."
20,Coding,"n개의 주사위가 주어졌을 때, 각 면에 1에서 x까지의 값이 있습니다. 주사위를 굴려서 얻을 수 있는 합 SUM의 경우의 수를 구하세요."
21,Coding,"후위 표기법으로 변환하지 않고 한 번의 연산으로 중위 표기식을 계산하세요."
