id,category,question
1,Coding,"주어진 구간들의 집합에서 모든 겹치는 구간들을 병합하세요. 예시: 주어진 구간 [1,3],[2,6],[8,10],[15,18]에 대해 [1,6],[8,10],[15,18]을 반환하세요."
2,Coding,"주어진 입력 문자열에서 단어 단위로 문자열을 뒤집으세요. 예시: Givens = 'the sky is blue', 반환 값은 'blue is sky the'입니다."
3,Coding,"서브배열의 최대 합을 구하세요."
4,Coding,"배열의 k-부분수열을 다음과 같이 정의합니다: 1) 배열의 연속된 부분수열. 2) 부분수열의 합이 k로 나누어 떨어짐(s % k == 0). 정수 k와 배열이 주어지면, k-부분수열의 수를 구하세요. 예시: k=3, 배열=[1,2,3,4,1] Output: 4 ({1, 2}, {1,2,3}, {2,3,4}, {3})"
5,Coding,"중복된 값이 있는 배열이 주어지면, 배열을 값의 빈도수가 내림차순으로 정렬하세요. 두 요소의 빈도가 같으면, 실제 값에 대해 오름차순으로 정렬하세요. 예시: [2 3 5 3 7 9 5 3 7] Output: [3 3 3 5 5 7 7 2 9]"
6,Coding,"두 문자열이 주어지면, 두 번째 문자열에 있는 모든 단어를 첫 번째 문자열에서 제거하고 남은 첫 번째 문자열을 출력하세요. 예시: Str1 = 'A Statement is a Statement', Str2 = 'Statement a'. Output: 'A is Statement'"
7,Coding,"정수가 주어지면, 그 4번째 가장 덜 중요한 비트를 출력하세요."
8,Coding,"Harry는 기둥을 오르려고 합니다. Harry는 1단위 또는 n단위의 홉을 할 수 있습니다. 기둥의 높이가 k일 때, Harry가 기둥 꼭대기에 도달하는 최소 홉 수를 구하세요."
9,Coding,"두 개의 양의 부동 소수점 숫자(x, y)가 주어지면, 내장 함수를 사용하지 않고 지정된 엡실론 범위 내에서 x/y를 계산하세요."
10,Coding,"Pascal 삼각형을 생성하는 재귀 함수를 작성하세요."
11,Coding,"모든 0을 배열의 앞쪽으로 이동시키는 프로그램을 작성하세요. 입력: {1,2,3,0,0,0,4,5} Output: {0,0,0,1,2,3,4,5}"
12,Coding,"양의 정수가 주어지면, 주어진 정수에 있는 숫자들을 사용하여 다음으로 큰 숫자를 구하세요. 예시: 218765 Output: 251678"
13,Coding,"문자열을 정수로 변환하는 atoi를 구현하세요."
14,Coding,"무한 정수 그리드가 주어지고, N명이 그리드 상에 집이 있습니다. 이들은 서로 동일한 만남의 장소를 선택하고 싶습니다. 그리드의 임의의 셀에서 모든 8개의 인접 셀이 1단위 시간으로 이동 가능합니다. 모든 사람들의 이동 시간을 합산하여 최소화하는 만남의 장소를 찾으세요."
15,Coding,"Ashley는 동전을 계단식으로 배열하려고 합니다. 첫 번째 행에 1개의 동전을 두고, 두 번째 행에는 2개, 세 번째 행에는 3개, ... 각 행은 그 위의 행보다 하나씩 더 많은 동전을 가집니다. 완성된 계단식에서 동전으로 채운 행의 수를 구하세요."
16,Coding,"주어진 배열에서, 인접한 원소들의 차이가 0 또는 1인 가장 긴 부분수열의 길이를 구하세요. 예시: arr[] = {2, 5, 6, 3, 7, 6, 5, 8} Output: 5 (부분수열은 {5, 6, 7, 6, 5}입니다)."
17,Technical,"서버가 초당 한 번 API를 호출할 수 있습니다. 멀티스레드 환경에서 서버가 초당 1번 호출하도록 어떻게 보장할 수 있나요? 여러 서버가 있을 경우에도 호출이 초당 1번이 되도록 어떻게 보장할 수 있나요?"
18,Miscellaneous,"Python에서 __init__.py 파일은 무엇인가요?"
19,Miscellaneous,"Python에서 더블 언더스코어(__)는 무엇을 의미하나요?"
20,Miscellaneous,"퍼즐: 8개의 동일한 공이 주어집니다. 그 중 하나가 나머지 7개보다 무겁습니다 (나머지 공들은 모두 동일한 무게입니다). 단순한 기계 저울이 주어지며, 저울을 2번만 사용할 수 있습니다. 더 무거운 공을 찾아내세요."
