id,category,question
1,Coding,"정렬된 배열 arr[]와 숫자 x가 주어졌을 때, arr[]에서 x의 발생 횟수를 O(Log(N)) 시간 복잡도로 구하는 함수 작성."
2,Coding,"텍스트 파일에 {candidateID, voterID} 정보가 포함된 투표 데이터를 실시간으로 읽고 상위 5명의 후보를 출력하는 프로그램 작성. 유권자가 두 번 투표하거나 여러 후보에게 투표하려 하면 사기로 간주."
3,Coding,"주어진 스도쿠가 유효한지 확인하는 프로그램 작성."
4,Coding,"m x n 크기의 행렬이 주어졌을 때, 행렬의 모든 요소를 나선형 순서로 반환하는 함수 작성."
5,Coding,"단어 배열이 주어졌을 때, 애너그램을 그룹화하고 개수가 적은 순서대로 정렬하여 출력."
6,Coding,"로마 숫자가 주어졌을 때, 이를 정수로 변환하는 함수 작성."
7,Coding,"후보 숫자 집합 C와 목표 숫자 T가 주어졌을 때, C의 숫자를 합하여 T가 되는 모든 조합을 찾는 함수 작성. 같은 숫자는 여러 번 선택 가능."
8,Coding,"숫자 문자열이 주어졌을 때, 해당 숫자가 나타낼 수 있는 모든 문자 조합을 반환하는 함수 작성. 예: 입력 '23' → 출력 ['ad', 'ae', 'af', 'bd', 'be', 'bf', 'cd', 'ce', 'cf']"
9,Coding,"정렬되지 않은 간격 목록 V1과 V2가 주어졌을 때, 두 리스트의 합집합(OR) 및 교집합(AND)을 구하는 함수 작성."
10,Coding,"정렬되지 않은 정수 배열이 주어졌을 때, 가장 긴 연속된 숫자 시퀀스의 길이를 O(n) 시간 복잡도로 찾는 함수 작성."
11,Coding,"올바른 괄호 쌍을 모두 생성하는 함수 작성."
12,Coding,"사용할 수 있는 작업이 '문자 입력(X)', '모두 선택', '복사', '붙여넣기'만 있는 노트패드에서 n번의 작업으로 최대한 많은 문자를 입력하는 최적의 순서를 찾는 함수 작성."
13,Coding,"양의 정수 배열이 주어졌을 때, 배열을 두 부분으로 나누어 합이 같은 두 부분 집합으로 분할할 수 있는지 확인하는 함수 작성."
14,Coding,"시스템 패키지 목록이 주어졌을 때, 설치 순서를 고려하여 모든 패키지를 올바르게 설치할 수 있는 유효한 순서를 찾는 함수 작성."
15,Coding,"주어진 문자열 s를 모든 부분 문자열이 팰린드롬이 되도록 분할하는 모든 가능한 경우를 반환하는 함수 작성."
16,Coding,"주어진 문자열 s에 대해 s의 모든 팰린드롬 순열을 반환하는 함수 작성. 만들 수 없다면 빈 배열 반환."
17,Coding,"주어진 입력 문자열과 정렬된 문자열이 있을 때, 정렬 문자열이 입력 문자열에 포함되는지 확인하는 함수 작성."
18,Coding,"외계 언어의 정렬된 단어 목록이 주어졌을 때, 해당 언어의 알파벳 순서를 찾는 함수 작성."
19,Coding,"단어 배열과 길이 L이 주어졌을 때, 각 줄이 정확히 L자의 문자로 구성된 정렬된 텍스트를 반환하는 함수 작성."
20,Coding,"화학 이름과 기호 배열을 반환하는 API가 주어졌을 때, 기호를 대괄호로 감싸 출력하는 함수 작성."
21,Coding,"세 개의 배열에서 각 배열에서 하나의 요소를 선택해 목표 합이 되는 모든 조합을 찾는 함수 작성."
22,Coding,"두 개의 숫자가 연결 리스트로 표현되었을 때, 두 리스트의 합을 반환하는 함수 작성."
23,Coding,"주어진 주식의 어제 가격 배열이 주어졌을 때, 한 번의 매수와 한 번의 매도로 얻을 수 있는 최대 이익을 계산하는 함수 작성."
24,Coding,"주어진 문자열 s와 단어 사전 dict가 있을 때, s를 dict의 단어들로 조합해 공백으로 구분된 문장으로 만들 수 있는지 확인하는 함수 작성."
25,Coding,"정수 배열이 주어졌을 때, 인접하지 않은 요소들의 최대 합을 찾는 함수 작성."
26,Coding,"숫자로 이루어진 문자열이 주어졌을 때, 해당 숫자에 대한 가능한 문자 조합을 모두 찾는 함수 작성."
27,Coding,"주어진 문자열과 사전이 있을 때, 문자열에서 사전 단어를 포함하는 문장의 개수를 찾는 함수 작성."
28,Coding,"두 문자열 a와 b가 주어졌을 때, b의 모든 고유 문자를 포함하는 a의 가장 긴 부분 수열의 길이를 찾는 함수 작성."
29,Coding,"4*n 블록이 주어졌을 때, 1*2 블록을 사용해 이를 채우는 방법의 개수를 찾는 함수 작성. 블록 회전 허용."
30,Coding,"단어 사전이 주어졌을 때, 각 행과 열이 단어가 되는 문자 매트릭스를 생성하는 함수 작성."
31,Coding,"정렬된 정수 배열이 주어졌을 때, 배열의 인덱스가 값과 같은 요소를 찾는 함수 작성. 존재하지 않으면 없음을 반환."
32,Coding,"정수 배열이 주어졌을 때, 각 인덱스 i에 대해 a[j] > a[i]인 가장 가까운 인덱스 j를 찾는 함수 작성. 없으면 -1 반환."
33,Coding,"문자열 A와 B가 주어졌을 때, A에서 B의 모든 문자를 포함하는 가장 작은 부분 문자열을 찾는 함수 작성. O(n)으로 구현."
34,Coding,"문자열과 문자 제한이 주어졌을 때, 메시지를 잘리지 않도록 나누어 주석을 붙이는 함수 작성."
35,Coding,"카드 덱이 주어졌을 때, 이 덱이 두 개의 절반에서 하나의 리플로 섞인 것인지 확인하는 함수 작성."
36,Coding,"N을 a + b + c + d로 표현하는 방법의 개수를 찾는 함수 작성. (1 ≤ a ≤ b ≤ c ≤ d, 1 ≤ N ≤ 5000)"
37,Coding,"l과 r이 주어졌을 때, l과 r 사이의 소수에서 가장 빈번한 숫자를 찾는 함수 작성. 빈도 같으면 큰 숫자 출력."
38,Tech,"이진 트리의 거울을 반환하는 프로그램 작성."
39,Tech,"매우 큰 희소 벡터 두 개를 저장하고 곱셈을 수행하는 데이터 구조 설계."
40,Tech,"자바에서 HashMap을 설계하고 put, get, remove, resize 메서드를 구현."
41,Tech,"LRU 캐시를 구현하는 프로그램 작성."
42,Tech,"주어진 그래프가 이분 그래프인지 확인하는 프로그램 작성."
43,Tech,"이진 트리를 직렬화 및 역직렬화하는 방법 구현."
44,Tech,"상수 시간에 삽입, 삭제, 검색, getRandom을 지원하는 데이터 구조 설계."
45,Tech,"이진 검색 트리에서 k번째로 작은 값을 찾는 함수 작성."
46,Tech,"이진 트리가 유효한 이진 검색 트리인지 확인하는 함수 작성."
47,Tech,"두 개의 스택으로 큐를 구현하는 함수 작성."
48,Tech,"이진 검색 트리에서 두 키 간의 거리를 찾는 함수 작성."
49,Miscellaneous,"엘리베이터 알고리즘 설계."
50,Miscellaneous,"대용량 파일을 정렬하는 분산 시스템 설계."
