id,category,question
1,Coding,"배열 A는 n개의 셀로 구성되어 있으며, n은 0부터 n까지의 범위를 가집니다. 각 셀은 1부터 n까지의 값 범위를 가지는 n개의 요소로 구성됩니다. 배열 B를 생성하되, B[i]는 A에 나타나는 모든 j에 대해 B[j]보다 작거나 같아야 합니다."
2,Coding,"원하는 금액을 만들기 위해 필요한 최소 동전 개수를 찾으세요. 동전은 페니(1), 니켈(5), 다임(10), 쿼터(25)만 사용할 수 있습니다."
3,Coding,"크기가 n인 정수 배열이 주어졌을 때, 배열에서 모든 윈도우 크기에 대해 최소값의 최대값을 찾으세요. 윈도우 크기는 1에서 n까지 변합니다."
4,Tech,"싱글톤 클래스를 구현하세요."
5,Tech,"이진 트리와 이진 검색 트리를 설명하세요."
6,Tech,"C++에서 클래스를 사용하여 스택을 구현하세요."
7,Tech,"문자열에서 가장 긴 팰린드롬 부분 수열을 찾으세요."
8,Tech,"연결 리스트에서 루프를 감지하고 제거하세요."
9,Tech,"파일에서 첫 3개의 라인을 선택하세요. 가장 긴 라인을 선택하고 그 라인의 단어 수를 세세요."
10,Tech,"문자열 배열에서 가장 짧은 팰린드롬의 길이를 찾으세요."
11,Tech,"3x3 행렬에서 왼쪽 상단에서 오른쪽 하단으로 가는 가장 짧은 비용 경로를 찾으세요."
12,Tech,"스도쿠 해결기를 설계하세요."
13,DBMS,"다양한 종류의 조인에 대해 설명하세요."
14,OS,"교착 상태에 대해 설명하세요."
15,Misc,"댕글링 포인터란 무엇인가요?"
16,Misc,"웹 브라우저에 URL을 입력하면 어떤 일이 일어날까요?"
17,Misc,"가상 함수와 가상 소멸자에 대해 설명하세요."
18,Misc,"다이아몬드 문제란 무엇인가요?"
19,Misc,"기본 클래스 포인터를 사용하여 객체를 생성하면 어떤 일이 일어날까요?"
20,Misc,"왜 자바는 인터페이스를 사용하는가요?"
21,Misc,"배열과 ArrayList의 차이점은 무엇인가요? 배열의 장점은 무엇인가요?"
22,Misc,"전위 증가와 후위 증가의 차이점은 무엇인가요?"
23,Misc,"Hashtable과 HashMap의 차이점은 무엇인가요?"
24,Misc,"Java에서 HashMap은 어떻게 구현되나요?"
25,Misc,"학생 등록 시스템에 대한 엔터티 관계 다이어그램을 그리세요."
26,Misc,"공항 관리 시스템에 대한 엔터티 관계 다이어그램을 그리세요."
27,Misc,"캡슐화는 객체 지향 프로그래밍에서 실제로 존재하는가요, 아니면 개념적인 것인가요?"
