id,category,question
1,Coding,"배열의 끝에 도달하기 위해 최소한의 점프를 요구하는 경로를 구하세요."
2,Coding,"각 행이 정렬된 이진 행렬에서 1의 수가 최대인 행을 구하세요."
3,Coding,"스택을 추가 공간 없이 복제하는 방법을 설명하세요."
4,Coding,"O(1) 시간 복잡도로 push, pop, find min 연산을 수행하는 스택을 설계하세요."
5,Coding,"외부 병합 정렬을 설명하세요. 가능하다면 이를 최적화할 방법을 제시하세요."
6,Coding,"주어진 문자열 s1과 s2에 대해, s2의 모든 문자가 포함된 s1 내의 가장 작은 부분 문자열을 구하세요. (가장 효율적인 해결법)"
7,Coding,"두 개의 문자열 목록이 주어졌을 때, 각 문자열 쌍에 대해 다음 연산을 수행하세요: 연산: 두 문자열을 애너그램으로 만들기 위해 필요한 최소한의 변경 횟수를 계산하세요. (첫 번째 문자열의 문자를 재배열하여 두 번째 문자열로 만들기)"
8,Tech Data Structures and Algorithms,"주어진 단어 집합을 새롭게 정의된 사전 순서대로 정렬해야 합니다. 주어진 문자열들로부터 각 문자의 사전 순서를 출력하세요."
9,Tech Data Structures and Algorithms,"주어진 k개의 인수를 가지는 n개의 숫자를 오름차순으로 생성하세요. 다양한 접근 방법을 논의하세요."
10,Tech Data Structures and Algorithms,"간단한 DP 문제: 개구리가 1 또는 2단계를 이동할 수 있습니다. n번째 위치에 도달할 수 있는 방법의 수를 구하세요."
11,Tech Data Structures and Algorithms,"사전에서 주어진 문자열 s1과 s2가 있을 때, s1을 s2로 변환하기 위한 최소 단계 수를 구하세요. 단, 각 변환은 사전에 있는 단어여야 합니다. F(s1, s2)라는 O(1) 라이브러리 함수가 주어지며, 이 함수는 's2가 s1에서 한 번의 변환으로 생성될 수 있는지 여부'를 반환합니다."
12,Tech Data Structures and Algorithms,"BST를 정렬된 이중 연결 리스트로 변환하되, 추가 공간을 사용하지 마세요."
13,Tech Data Structures and Algorithms,"정수 배열이 주어졌을 때, 각 원소에 대해 그 오른쪽에 있는 자신보다 더 큰 가장 작은 원소를 찾으세요. (기대 시간 복잡도: O(nlogn))"
14,Tech Data Structures and Algorithms,"완전 이진 트리가 주어졌을 때, 레벨 순서 탐색이 정렬된 상태입니다. 이 트리에서 효율적으로 원소 K를 찾으세요. (O(n)보다 효율적인 방법)"
15,Tech Data Structures and Algorithms,"정렬된 정수 배열이 주어졌을 때, 배열의 각 원소의 제곱을 구한 후 그 제곱값들이 정렬된 배열을 찾으세요. (기대 시간 복잡도: O(n))"
16,Tech Data Structures and Algorithms,"n개의 비음수 정수 a1, a2, ..., an이 주어졌을 때, 각 점은 (i, ai) 좌표에 해당하며, n개의 세로선이 그려집니다. 두 선을 선택하여, x축과 함께 물을 가장 많이 담을 수 있는 컨테이너를 찾으세요."
17,Tech Data Structures and Algorithms,"세 개의 정렬된 배열 A, B, C가 주어졌을 때, (a,b,c) 형태로 a> b > c를 만족하는 튜플의 개수를 세세요. a는 A에서, b는 B에서, c는 C에서 선택됩니다."
18,Tech Data Structures and Algorithms,"NxN 행렬이 주어졌을 때, 각 셀에 그 위치에서 이동할 수 있는 방향을 나타내는 기호가 있습니다. 예를 들어, '->'는 왼쪽 인접 셀로 이동할 수 있음을 의미합니다. 시작점과 끝점이 주어졌을 때, 시작점에서 끝점까지 경로가 존재하는지 확인하세요."
19,Tech Data Structures and Algorithms,"정수 배열 nums가 주어졌을 때, 배열을 오름차순으로 정렬하려면 하나의 연속된 부분 배열만 정렬하면 된다고 할 때, 그 부분 배열을 찾고 그 길이를 반환하세요."
20,Tech Data Structures and Algorithms,"n-ary 트리가 주어졌을 때, 모든 리프 노드를 먼저 태운 후, 새로운 리프 노드가 형성되면 그것을 또 태웁니다. 이 과정을 반복하여 루트 노드를 태울 때까지 진행합니다. 각 번에 태운 리프 노드를 한 줄로 출력하세요. 예시: 1 -> 2 -> 3 -> 4. 출력: 8 9 5 6 7, 4 3, 2, 1."
21,Tech Data Structures and Algorithms,"정수 배열이 주어졌을 때, 배열의 원소의 부호를 변경할 수 있을 때, 배열의 원소의 합의 절댓값을 최소화하는 값을 구하세요."
22,Tech Data Structures and Algorithms,"체스판에서 나이트의 시작 위치와 끝 위치가 주어졌을 때, 나이트가 시작 위치에서 끝 위치까지 이동하는 최소 이동 횟수를 구하세요. 이동이 불가능하면 -1을 반환하세요."
23,DBMS,"온라인 쇼핑(예: Flipkart)을 위한 테이블을 설계하세요. 각 테이블의 기본 키와 외래 키를 설명하세요."
24,DBMS,"이 기본 키들 간의 매핑과 이곳에서 사용할 매핑 유형(일대일, 다대다, 다대일)을 설명하세요."
25,OS,"멀티스레딩과 그 예시를 설명하세요."
26,Miscellaneous,"프로젝트와 인턴십에 대해 설명하세요."
27,Miscellaneous,"수십억 개의 URL이 주어졌을 때, 이 URL들의 IP 주소를 효율적으로 반환할 수 있는 데이터 구조를 제시하세요."
28,Miscellaneous,"트리의 경계를 출력하세요."
29,Miscellaneous,"데이터베이스 관리 시스템(DBMS)을 설명하세요."
30,Miscellaneous,"큰 문자열 스트림이 주어졌을 때, 가장 자주 발생하는 10개의 문자열을 반환하세요. (해시 맵과 크기가 10인 최소 힙을 사용한 해결법)"
31,Miscellaneous,"Trie 데이터 구조에 대해 설명하세요."
