id,category,question
1,Coding,"32에서 62 사이의 숫자 중 끝자리가 5인 모든 숫자를 출력하는 프로그램을 작성하세요."
2,Coding,"십진수를 입력받아 그 숫자의 이진수 표현을 출력하는 프로그램을 작성하세요."
3,Coding,"주어진 ASCII 값에 대해 해당 문자열을 출력하는 프로그램을 작성하세요."
4,Coding,"m x n 크기의 2D 매트릭스가 주어졌을 때, 이미지를 90도(반시계 방향) 회전시키는 프로그램을 작성하세요."
5,Coding,"중위 표기법을 후위 표기법으로 변환하는 프로그램을 작성하세요."
6,Coding,"주어진 매트릭스의 전치행렬을 출력하는 프로그램을 작성하세요."
7,Coding,"주어진 2D 배열에서 최대 합 부분 배열을 찾는 프로그램을 작성하세요."
8,Coding,"주어진 이진 탐색 트리에서 k번째로 작은 요소를 찾는 함수를 작성하세요."
9,Coding,"주어진 텍스트 파일에서 단어들을 스캔하고, 그들의 발생 빈도를 출력하는 프로그램을 작성하세요. 단어들을 내림차순으로 정렬하고 상위 10개의 단어를 표시하세요."
10,Coding,"두 번째로 큰 숫자를 찾는 프로그램을 작성하세요."
11,Coding,"두 문자열이 서로 애너그램(Anagram)인지 확인하는 프로그램을 작성하세요."
12,Coding,"정렬되지 않은 연속된 배열에서 누락된 숫자를 찾는 프로그램을 작성하세요."
13,Coding,"사용자가 주어진 형식으로 입력한 경우 모든 파티에서 공통된 손님 수를 찾는 프로그램을 작성하세요. 입력 형식: 122,444,2223,122,1111,122,2233,123,333,333,444,1111,122 출력 형식: 2233:1 2223:1 333:2 444:2 1111:2 122:4 123:1"
14,Tech,"연결 리스트의 역순을 출력하는 재귀 함수를 작성하세요."
15,Tech,"C/C++로 O(n) 시간 복잡도로 배열을 정렬하는 프로그램을 작성하세요."
16,Tech,"연결 리스트를 반전시키는 프로그램을 작성하세요."
17,Tech,"큐를 구현하는 프로그램을 작성하세요."
18,Tech,"이중 연결 리스트의 장점에 대해 설명하세요."
19,Tech,"해싱의 다양한 유형(선형 해싱, 이차 해싱, 중간 제곱법)에 대해 설명하세요."
20,Tech,"재귀를 사용하여 십진수를 이진수로 변환하는 프로그램을 작성하세요."
21,Tech,"재귀를 사용하여 배열에서 가장 큰 숫자를 찾는 프로그램을 작성하세요."
22,Tech,"연결 리스트를 정렬하는 프로그램을 작성하세요."
23,Tech,"리틀 엔디안에서 빅 엔디안으로 변환하는 프로그램을 작성하세요."
24,Tech,"연결 리스트의 중간 요소를 찾는 프로그램을 작성하세요."
25,Tech,"이진 탐색 트리의 왼쪽 뷰를 출력하는 프로그램을 작성하세요."
26,Tech,"원형 연결 리스트를 구현하는 프로그램을 작성하세요."
27,Tech,"회문 연결 리스트 및 연결 리스트를 사용한 스택 구현 프로그램을 작성하세요."
28,Tech,"연결 리스트에서 중복된 요소를 제거하는 프로그램을 작성하세요."
29,Tech,"연결 리스트에서 루프가 있는지 확인하는 프로그램을 작성하세요."
30,Tech,"최대 4개의 숫자에 대해 잘 읽기 쉽고 최적화된 코드를 작성하는 프로그램을 작성하세요."
31,DBMS,"정규화를 사용한 데이터베이스 설계 프로그램을 작성하세요."
32,DBMS,"DBMS, RDBMS 및 ORDBMS의 차이점에 대해 설명하세요."
33,DBMS,"DDL, DML, DCL에 대해 설명하세요."
34,DBMS,"클러스터링 인덱스를 가진 것에 대해 설명하세요."
35,DBMS,"트랜잭션과 정규화에 대해 설명하세요."
36,OS,"세마포어(Semaphores), 단편화(Fragmentation), 정규화(Normalization)에 대해 정의하세요."
37,OS,"데드락(Deadlock), 순환 대기(Cyclic wait)에 대해 설명하세요."
38,OS,"페이징(Paging)과 세그멘테이션(Segmentation)에 대해 설명하세요."
39,OS,"쓰래싱(Thrashing)이란 무엇인가요?"
40,OS,"뮤텍스(Mutex)와 이진 세마포어(Binary semaphore)의 차이점에 대해 설명하세요."
41,OS,"IPC(Inter-process communication) 메커니즘에 대해 설명하세요."
42,Misc,"C에서 클래스를 구현하는 방법에 대해 설명하세요."
43,Misc,"C와 C++의 차이점에 대해 설명하세요."
44,Misc,"템플릿(Template)이란 무엇인가요?"
45,Misc,"C 구조체에서 상속에 대해 설명하세요."
46,Misc,"어떻게 두 개의 C 프로그램에서 같은 변수를 접근할 수 있게 만들 수 있나요?"
47,Misc,"Java에서 동기화(Synchronization), 비동기화(Desynchronization), 중간(Interim), 조작(Manipulation)에 대해 정의하세요."
48,Misc,"순차 파일을 저장하는 기술에는 어떤 것들이 있나요?"
49,Misc,"exe와 dll의 차이점에 대해 설명하세요."
50,Misc,"C에서 volatile에 대해 설명하세요."
51,Misc,"C에서 const, const 포인터, 포인터의 const 차이점에 대해 설명하세요."
52,Misc,"C++에서 가상 함수(Virtual function)와 순수 가상 함수(Pure virtual function)에 대해 설명하세요."
53,Misc,"듀얼 코어(Dual-core), 캐시(Caching), 프로세서의 처리량(Throughput)에 대해 설명하세요."
54,Misc,"Java에서 추상 클래스(abstract class)와 인터페이스(interface)의 차이점에 대해 설명하세요."
55,Misc,"가상 클래스와 정적 클래스의 차이점에 대해 설명하세요."
56,Misc,"값에 의한 호출(Call by value), 주소에 의한 호출(Call by address), 참조에 의한 호출(Call by reference)의 차이점을 설명하세요."
57,Misc,"C++에서 연산자 오버로딩(Operator Overloading)을 구현하는 방법에 대해 설명하세요."
