id,category,question
1,Telephonic,"2의 24제곱의 근사값은 얼마인가요?"
2,Telephonic,"Merge Sort와 Quick Sort의 평균 및 최악의 시간 복잡도는 무엇인가요?"
3,Telephonic,"C++ Collection의 *.find()* 함수가 컬렉션에서 항목을 찾을 수 없을 때 무엇을 반환하나요?"
4,Telephonic,"Java의 Map 인터페이스 구현체 몇 가지를 말해주세요."
5,Telephonic,"Heapsort를 Mergesort보다 사용할 때의 장점은 무엇인가요?"
6,Telephonic,"동적 메모리 할당을 사용하는 프로그램을 가정하고, malloc 함수가 없는 라이브러리를 사용할 때, 직접 malloc 함수를 어떻게 구현할 수 있나요?"
7,Telephonic,"DFS를 구현하는 데 사용하는 데이터 구조와 BFS를 구현하는 데 사용하는 데이터 구조는 무엇인가요?"
8,Telephonic,"HashSet의 조회 시간 복잡도는 무엇인가요?"
9,Telephonic,"힙은 어떤 데이터 구조를 사용하여 구현되나요?"
10,Telephonic,"시간 복잡도 측면에서 가장 좋은 정렬 알고리즘은 무엇인가요?"
11,Telephonic,"다음 중 불변 데이터 구조는 무엇인가요: 튜플, 리스트, 딕셔너리."
12,Telephonic,"800개의 노드를 가진 이진 트리의 최소 높이는 얼마인가요?"
13,Telephonic,"Python에서 문자열의 앞뒤 공백을 제거하는 방법은 무엇인가요?"
14,Coding,"(x, y) 좌표가 주어졌을 때, 각 좌표가 고유하게 정수로 매핑되는 함수를 생성하세요. 또한 주어진 정수에 대해 (x, y) 좌표를 찾을 수 있어야 합니다. 즉, F(x, y) = z이며, 반대로 F(z) = (x, y)가 성립해야 합니다."
15,Coding,"백만 개의 숫자를 가진 배열과 왼쪽, 오른쪽 인덱스 범위가 주어졌을 때, 각 쿼리에 대해 그 범위 내에서 최대값을 출력하세요."
16,Coding,"수학적 연산이 루트 노드이고 숫자가 리프인 표현식 트리가 주어졌을 때, 전체 수학적 표현식의 값을 계산하고 반환하세요."
17,Coding,"정수 배열 arr[]가 주어졌을 때, 배열에서 재활용된 숫자 쌍의 수를 찾으세요. 재활용 쌍 {a, b}는 다음과 같은 특성을 가집니다: A는 B보다 작아야 하며, 몇 개의 자릿수가 동일해야 합니다. A를 한 방향으로 아무리 회전시켜도 B가 되어야 합니다."
18,Coding,"n개의 길이 {A1, A2, .. An}의 보드를 칠해야 합니다. k명의 화가가 있으며 각 화가는 1 단위 시간에 보드 1 단위를 칠할 수 있습니다. 각 화가는 연속된 구간의 보드만 칠할 수 있습니다. 최소 시간을 계산하세요."
19,Coding,"공백 없이 주어진 유효한 문장과 유효한 영어 단어의 사전이 있을 때, 문장을 개별 단어들로 나누는 모든 가능한 방법을 찾으세요. 예시 입력: {i, like, sam, sung, Samsung, mobile, ice, cream, icecream, man, go, mango}, 'ilikesamsungmobile'. 예시 출력: I like sam sung mobile, I like Samsung mobile."
20,Coding,"두 개의 정수 배열 A와 B가 크기 N으로 주어졌을 때, 원형 경로를 따라 N개의 주유소가 있고, 각 주유소 i에서 주유량은 A[i], i에서 다음 주유소로 이동하는데 드는 비용은 B[i]입니다. 빈 탱크 상태에서 한 주유소에서 시작하여 경로를 한 바퀴 도는 데 필요한 최소 시작 주유소의 인덱스를 반환하세요. 경로를 도는 것이 불가능하면 -1을 반환하세요."
21,Coding,"문자열 A가 주어졌을 때, A를 분할하여 각 부분 문자열이 팰린드롬이 되도록 해야 합니다. A의 팰린드롬 분할에 필요한 최소 자르기 횟수를 반환하세요. 예시 입력: 'aba'. 예시 출력: 0."
22,Coding,"직원에서 관리자 매핑을 포함하는 맵이 주어졌을 때, 각 관리자 아래에서 직접 또는 간접적으로 보고하는 모든 직원을 찾으세요. 예시 입력: A->A, B->A, C->B, D->B, E->D, F->E. 예시 출력: A->B, D, C, E, F; B->D, C, E, F; C->; D->E, F; E->F; F->."
