id,category,question
1,coding,"7개의 키를 가진 HashMap이 있습니다. 키는 월요일부터 일요일까지이며, 각 키는 (시작 시간, 끝 시간) 쌍의 리스트에 해당합니다. 이 쌍들은 정렬되지 않았습니다. 인접한 시간 슬롯을 병합하십시오. 병합된 시간 슬롯을 가진 동일한 구조의 HashMap을 반환하십시오."
2,coding,"배열리스트<meals> 입력이 주어집니다. 고유한 재료를 가진 요리의 개수를 구하십시오. 클래스 meals { String cuisine; ArrayList<String> dish = new ArrayList<String>(); meals(String s, String arr[]){ cuisine = s; for(String i : arr){ dish.add(i); } } }"
3,coding,"리뷰에서 주제 발생 횟수를 찾으세요."
4,coding,"주어진 숫자에 대해 가장 가까운 회문을 찾으세요. 숫자는 음수일 수 있습니다. 예) 1234 -> 1221, 101 -> 99"
5,coding,"업체 이름과 평점이 포함된 객체 배열에서 평점의 중간값을 구하십시오."
6,coding,"문자열에서 불필요한 공백을 제거하십시오."
7,coding,"유효한 괄호를 생성하십시오."
8,coding,"애너그램을 그룹화하십시오."
9,coding,"LeetCode 중급 - 그래프 탐색"
10,coding,"문자열 쿼리와 올바른 단어 사전 목록이 주어집니다. 사전에서 최소 차이를 가진 단어를 찾으세요."
11,coding,"그래프에서 약하게 연결된 컴포넌트의 개수를 구하십시오."
12,coding,"문자열 배열의 배열이 주어집니다. 가장 많이 발생한 문자열을 찾고 반환하십시오. 동점이 있다면 문자열 배열을 반환하십시오."
13,coding,"링크드 리스트에서 중복 항목을 제거하십시오."
14,coding,"업체 정보가 다음과 같은 형식으로 주어집니다: [{'name1', 10001}, {'name2', 10004}, {'name3', 10002}...]. 이를 정렬하십시오."
15,tech,"사람들을 랜덤으로 그룹으로 묶는 프로그램을 작성하십시오. 남은 사람들을 세 명씩 그룹에 배정하십시오."
16,tech,"사용자 구독 데이터와 시간이 정렬된 여러 업데이트된 데이터가 주어집니다. 업데이트 후 구독 상태가 변경된 사용자 목록을 반환하십시오."
17,tech,"이벤트 이름, 발생 및 비즈니스 ID 목록이 주어집니다. 두 개 이상의 이벤트 이름이 있고, 평균 이상으로 많은 이벤트를 가진 비즈니스 ID를 반환하십시오."
18,tech,"문자열 목록이 주어집니다. 세 문장에서 각 문자열이 등장한 횟수를 구하십시오."
19,tech,"접두사 매칭"
20,tech,"레스토랑 리뷰 평점의 중간값을 구하십시오."
21,tech,"인터벌 병합. 고객 리뷰에서 키워드를 찾으십시오."
22,tech,"문자열에서 중복 없이 가장 긴 부분 문자열을 찾으십시오."
23,tech,"가장 자주 나타나는 K개의 요소를 찾으십시오. 여러 노드에서 이를 실행하려면 어떻게 하겠습니까?"
24,tech,"단어 시퀀스가 주어졌을 때, 모든 애너그램을 함께 출력하십시오."
25,tech,"선호하는 언어로 리스트 조작을 수행하십시오."
26,tech,"Two sum 문제를 해결한 후 k sum 문제를 해결하십시오."
27,dbms,"데이터베이스 원칙과 시스템 설계에 대한 몇 가지 질문"
28,os,"암호화 후 압축을 할지, 압축 후 암호화를 할지에 대해 설명하십시오. 그 이유는 무엇입니까?"
29,os,"모든 인터뷰에는 UNIX 관련 트리비아 스타일의 질문이 있었으며, 이는 UNIX 유틸리티 및 옵션에 대한 지식이 필요했습니다."
30,os,"브라우저의 URL에 제출을 클릭하면 어떤 일이 일어납니까? (예: Safari에서 google.com)"
31,os,"HTTP 서버는 어떤 포트에서 실행됩니까?"
32,os,"Servlet과 JSP를 설명하십시오."
33,os,"IP 주소 목록과 해당하는 히트 수가 주어졌을 때, 상위 10개의 히트 IP 주소를 구하십시오."
34,misc,"세 개의 서버 중 하나가 느립니다. 가능한 이유는 무엇이며 이를 어떻게 해결하시겠습니까?"
35,misc,"클래스의 모든 인스턴스를 어떻게 찾을 수 있습니까?"
36,misc,"'X'는 우리가 내부에서 사용하는 도구입니다. 'Y'를 수행합니다. 아래는 일부 스켈레톤 코드입니다. 요구 사항을 구현하십시오."
37,misc,"Yelp 웹사이트에서 어떤 변경을 하고 싶습니까?"
38,misc,"모든 리뷰 중에서 다른 리뷰들과 가장 대표적인 리뷰를 출력하십시오. 모델을 어떻게 평가하겠습니까?"
