id,category,question
1,Coding,"정수 배열에서 주어진 숫자에 합산되는 숫자 쌍을 찾으세요."
2,Coding,"LinkedList 숫자에 1을 더하는 함수를 작성하세요. 예시: [2]->[4]->[5]->[7]->[3]->[6], 더한 후: [2]->[4]->[5]->[7]->[3]->[7]."
3,Coding,"두 숫자 a와 b 사이에 있는 모든 완전 제곱수의 개수를 구하세요."
4,Coding,"N개의 정수로 이루어진 배열에서 X와 Y의 개수가 같은 가장 긴 앞부분을 찾아라. 예상 시간 복잡도: O(n)."
5,Coding,"세 가지 종류의 버스 티켓이 있습니다: 1) 티켓 1은 2의 비용으로 하루 동안 유효, 2) 티켓 2는 7의 비용으로 7일 동안 유효, 3) 티켓 3은 25의 비용으로 한 달(30일) 동안 유효. 여행 날짜 배열이 주어졌을 때, 이 사람이 비용을 최소화할 수 있는 방법을 구하세요."
6,Coding,"영화관에 N개의 좌석 행이 주어지고, 각 행은 A부터 K까지 라벨이 붙어 있습니다. 일부 좌석은 예약되었습니다. 3인 가족이 연속된 좌석을 원합니다. 모든 가능한 옵션을 반환하세요."
7,Coding,"실수의 스트림에서 마지막 N개의 숫자의 이동 평균을 계산하는 클래스를 설계하세요."
8,Coding,"숫자 문자열을 통화 형식으로 변환하세요. 예: '1234.678'을 '1,234.68'로 변환."
9,Coding,"배열이 주어졌을 때, 다음으로 큰 요소를 찾으세요."
10,Coding,"트리에서 두 노드 간의 거리를 찾으세요."
11,Coding,"NPM 패키지 정보를 얻기 위한 NPM JSON API가 있습니다. `getAllDependencies(packageName)` 함수를 작성하여 주어진 패키지의 직접 및 모든 간접(재귀적) 종속성 문자열 배열을 반환하세요. 호출이 항상 성공하지 않음을 가정하지 마세요. 함수는 배열(또는 약속)을 반환해야 합니다."
12,Coding,"동적 프로그래밍 접근법을 사용하여 n개의 고유한 정수로 만들 수 있는 힙의 총 수를 구하세요."
13,Coding,"JSON을 입력으로 받아 prettified JSON을 출력하는 프로그램을 작성하세요."
14,Tech,"스택에서 최소 요소 찾기."
15,Tech,"트리의 상단 뷰 구하기."
16,Tech,"~을 사용하지 않고 i번째 비트 뒤집기."
17,Tech,"두 개의 스택을 사용하여 큐 구현하기."
18,Tech,"이진 검색 트리의 오른쪽 뷰 구하기."
19,Tech,"연결 리스트에서 마지막 nth 노드를 찾기."
20,Tech,"컬럼별 트리 순회 코드 작성."
21,Tech,"단어로 구성된 문장을 반대로 뒤집기."
22,Tech,"주어진 이진 트리가 유효한 균형 이진 검색 트리인지 확인하는 방법은?"
23,Tech,"비트스트림(0과 1)을 받았을 때, 비트가 수신될 때마다 현재 값이 3으로 나누어지는지 여부를 판단하고 True 또는 False를 출력하세요."
24,Tech,"정렬되지 않은 양의 정수 배열이 주어졌을 때, 연속된 정수를 포함하는 최대 부분 배열의 길이를 찾으세요."
25,DBMS,"DB 동시성."
26,Miscellaneous,"Thread에서 join()과 yield()의 용도는?"
27,Miscellaneous,"싱글톤 클래스란 무엇이며 이를 리플렉션으로부터 보호하는 방법은?"
28,Miscellaneous,"JVM 아키텍처 설명."
29,Miscellaneous,"스택 프레임이란 무엇인가요?"
30,Miscellaneous,"도커와 컨테이너란 무엇인가요?"
