id,category,question
1,Telephonic,"n개의 구간에 대해 시작 시간과 종료 시간이 주어집니다. 주어진 구간 중 겹치는 구간이 있는지 확인하는 함수는 어떻게 작성할 수 있나요? (정렬 후 확인, 시간 복잡도 O(nlogn))"
2,Telephonic,"두 개의 희소 벡터가 주어집니다 (0이 많은 벡터). 먼저 이 벡터들을 어떻게 표현하고 저장할 수 있을지 설명하고, 그 후 두 벡터의 내적을 구하는 방법을 설명하세요. (비어있지 않은 값의 인덱스와 값을 저장하고, 내적을 구하는 것은 매우 직관적입니다)."
3,Telephonic,"n개의 요소가 있는 배열과 합이 주어졌을 때, 배열의 두 요소가 주어진 합이 되는지 확인하세요."
4,Telephonic,"배열 A[]에 N개의 숫자와 또 다른 숫자 x가 주어졌을 때, A[] 배열에서 세 요소의 합이 정확히 x가 되는지 확인하세요."
5,Telephonic,"문자열 배열이 주어졌을 때, 공통 접두사를 반환하세요. 만약 공통 접두사가 없다면 빈 배열을 반환하세요. 예시: ['abcd', 'abb', 'acd'] -> 반환 'a'."
6,Telephonic,"정수 배열이 주어졌을 때, 배열에서 k번째로 큰 요소를 반환하세요. 예시: [-3, 5, 0, 9, 4], k = 2 -> 반환 5."
7,Coding,"주어진 문자열이 공백을 무시하고 회문인지 확인하세요. 예시: 'race car'는 회문입니다."
8,Coding,"두 개의 매우 큰 문자열이 주어졌을 때, 두 문자열을 곱하고 그 결과를 문자열로 반환하세요."
9,Coding,"n개의 나무가 원형으로 배열되어 있고, 각 나무에는 과일 값이 주어집니다. 새가 0.5초 동안 나무에 앉아 과일을 따고, 그 후 인접한 나무로 이동해야 합니다. 새가 이동하는데 0.5초가 걸립니다. 새는 나무에 앉을 때 과일 값을 얻습니다. 새가 과일을 모을 수 있는 최대 값을 구하세요. 새는 아무 나무에서 시작할 수 있습니다."
10,Coding,"주어진 58진수 인코딩을 사용하여 1부터 n까지의 숫자를 58진수로 변환하세요."
11,Tech Data Structures and Algorithms,"1부터 3999 사이의 십진수를 로마 숫자로 변환하세요."
12,Tech Data Structures and Algorithms,"구별되는 요소들의 배열이 주어졌을 때, 배열에서 합이 0인 삼원 그룹을 찾아내세요."
13,Tech Data Structures and Algorithms,"양의 숫자들로 이루어진 배열이 주어졌을 때, 그 배열에서 피보나치 수들을 포함하는 가장 큰 부분 집합을 찾으세요."
