id,category,question
1,Coding,"정수 배열과 정수 K, 인덱스 L과 R이 주어졌을 때, 배열이 K-1번 반복될 때 L과 R 사이에서 가장 많이 반복된 요소를 찾아라."
2,Coding,"좌표 (X1, Y1)(원본)과 (X2, Y2)(목적지)가 주어졌을 때, 다음의 움직임으로 목적지에 도달할 수 있는지 확인하는 문제: (X + Y, Y), (X, Y + X). 주의: 모든 좌표는 양수이며 10^18보다 클 수 있습니다."
3,Coding,"URL 목록이 주어졌을 때, 각 URL을 등장 횟수에 따라 정렬하고, 두 문자열의 등장 횟수가 같으면 사전순으로 정렬하세요."
4,Coding,"숫자 배열이 주어졌을 때, 각 i번째 요소에 대해 i보다 큰 숫자가 왼쪽에 있는 개수와 i보다 작은 숫자가 오른쪽에 있는 개수의 절대 차이를 계산하세요."
5,Coding,"문자열 S1과 S2가 주어졌을 때, 문자열 S1을 팰린드롬 문자열로 변환하여 S2가 그 팰린드롬 문자열의 부분 문자열이 되도록 하세요. S1에서 허용되는 유일한 연산은 문자를 다른 문자로 교체하는 것입니다. 필요한 최소 연산 횟수를 구하세요."
6,Coding,"N개의 노드를 가진 트리와 Q개의 쿼리가 주어졌을 때, 각 노드는 색깔을 가지고 있으며 각 쿼리에서 주어진 노드를 기준으로 그 노드와 색깔이 같은 모든 자식 노드를 '특별한 노드'로 표시하고, 이후 쿼리에서 이 '특별한 노드'의 개수를 출력하세요."
7,Technical Interview - Data Structures and Algorithms,"주어진 문자열에서 가장 긴 팰린드롬 부분 문자열을 구하세요."
8,Technical Interview - Data Structures and Algorithms,"m*n 크기의 행렬이 주어졌을 때, 각 셀은 0(빈 셀), 1(신선한 오렌지), 2(썩은 오렌지)를 나타냅니다. 모든 오렌지가 썩을 때까지 걸리는 최소 시간을 구하세요. 썩은 오렌지는 인접한 신선한 오렌지를 썩게 만들 수 있습니다."
9,Technical Interview - Data Structures and Algorithms,"이진 트리에서 같은 레벨에 있는 노드를 연결하는 문제(추가적인 next 포인터가 있는 경우)."
10,Technical Interview - Data Structures and Algorithms,"질문 은행을 위한 데이터 구조를 설계하세요. 각 질문은 ID와 텍스트를 가지고 있습니다. 이 데이터 구조는 삽입, 삭제, 검색, 무작위 질문을 O(1) 시간 복잡도로 지원해야 합니다."
11,Technical Interview - Data Structures and Algorithms,"배열에서 각 요소에 대한 다음 큰 요소를 구하세요."
12,Technical Interview - Data Structures and Algorithms,"이진 트리의 왼쪽 뷰를 구하세요."
13,Technical Interview - DBMS,"B 트리와 B+ 트리의 차이점을 설명하세요."
14,Technical Interview - DBMS,"RDBMS와 NoSQL의 차이점을 설명하세요."
15,Technical Interview - DBMS,"스레드와 프로세스의 차이점을 설명하세요."
16,Technical Interview - DBMS,"16GB RAM과 256GB 하드 디스크가 있고, 두 개의 CSV 파일이 있다고 가정합니다. 하나는 고객 파일(100MB, 고객 ID, 고객 이름)이고, 다른 하나는 주문 파일(200GB, 주문 ID, 고객 ID 및 주문 관련 세부사항)이 있습니다. SQL을 사용하여 고객 ID를 기준으로 이 두 파일을 내부 조인하세요."
17,Technical Interview - DBMS,"기본 키와 외래 키의 차이점을 설명하세요."
18,Technical Interview - Operating System,"이 섹션의 질문들."
19,Miscellaneous,"브라우저에 URL을 입력하면 어떤 일이 발생하나요?"
