id,category,question
1,coding,"두 개의 배열이 주어집니다. 두 번째 배열을 순회하면서 각 요소에 대해 첫 번째 배열에서 작거나 같은 값의 개수를 출력하시오."
2,coding,"정수 배열이 주어지고, 값 'k'가 주어집니다. 곱이 'k'보다 작은 부분 배열의 개수를 출력하시오."
3,coding,"세 개의 정렬된 배열이 주어졌을 때, 세 배열에 공통된 숫자를 찾아라."
4,coding,"주어진 비토닉 수열에서 비토닉 점을 찾으시오."
5,coding,"0, 1, 2로 구성된 2D 매트릭스가 주어집니다. 0은 막힌 경로, 1은 열린 경로, 2는 치즈 & 열린 경로를 나타냅니다. Tom은 (0,0)에서 시작하고 Jerry의 위치가 주어집니다. Tom은 치즈를 모두 모은 후 Jerry를 잡아야 합니다."
6,coding,"두 문자열 s1과 s2가 주어졌을 때, 두 문자열을 애너그램으로 만들기 위해 필요한 최소 조작 횟수를 구하시오. 단, 문자를 삭제하지 않고 변형해야 합니다."
7,coding,"여러 개의 문자열이 주어지며, 각 문자열은 (, ), {, }, [, ]의 다양한 조합으로 구성되어 있습니다. 이 배열의 유효성을 확인하시오. ()[]{}는 유효하고, ())({}는 유효하지 않습니다."
8,coding,"주어진 문자열에 대해, 모음으로 시작하고 자음으로 끝나는 모든 가능한 부분 수열을 반환하시오. 입력 예시: abc – ab, ac, abc. 입력 예시: aab – ab, aab."
9,coding,"배열이 주어지고, 각 친구의 나이가 주어집니다. 친구의 나이가 이웃보다 크다면 더 많은 초콜릿을 받습니다. 각 친구에게 분배할 초콜릿의 수를 구하시오. (생일 문제)"
10,coding,"배열 A[]가 주어집니다. 이 배열을 정렬하는 함수를 작성하시오. 0은 먼저, 그다음 1을, 마지막으로 2를 배치해야 합니다."
11,coding,"정수 배열이 주어졌을 때, 각 원소에 대해 왼쪽에 있는 더 작은 숫자를 찾으시오."
12,coding,"주어진 문자열에서 단어들을 뒤집는 프로그램을 작성하시오."
13,coding,"0과 1로 이루어진 매트릭스가 주어집니다. 알고리즘을 설계하여 가장 많은 1을 포함한 행의 인덱스를 반환하시오. 그 후 문제 수정이 되어 일부 행은 오름차순, 일부 행은 내림차순으로 정렬되어 있습니다."
14,coding,"두 배열이 주어지고, 첫 번째 배열의 크기는 n+m이고 두 번째 배열의 크기는 n입니다. 두 번째 배열은 n 크기만큼만 값을 가지고 있습니다. 알고리즘을 설계하여 작은 배열의 원소들을 큰 배열로 이동시키고, 큰 배열이 정렬되도록 하시오."
15,coding,"2^n 개의 정렬된 배열이 주어집니다. 이들을 병합하여 하나의 정렬된 배열을 만드시오."
16,coding,"배열과 정수가 주어집니다. b가 배열에 존재하는지 확인하고, 존재하면 b 값을 두 배로 하고 다시 검색하시오. 이 과정을 b가 더 이상 존재하지 않을 때까지 반복하십시오. 마지막으로 b 값을 반환하십시오."
17,coding,"배열이 주어지고, 이 배열은 정렬된 후 무작위로 회전되었습니다. 주어진 합을 만족하는 두 값이 존재하는지 확인하시오. 배열의 모든 원소는 다릅니다."
18,coding,"모음과 자음이 포함된 문자열이 주어집니다. 모음으로 시작하고 자음으로 끝나는 부분 문자열의 개수를 구하시오."
19,coding,"'Y' (풀)과 'N' (풀 아님)으로 이루어진 2D 그리드 맵이 주어집니다. 연결된 풀 블록은 하나의 필드를 형성합니다. 두 필드는 '풀 아님'으로 분리됩니다. 소나 양은 각각 하나의 필드에서 풀을 뜯을 수 있습니다. 모든 조합 중 양의 수가 짝수인 경우의 수를 찾으시오."
20,coding,"배열과 합 값이 주어집니다. 주어진 합보다 작은 합을 가진 세 개의 수의 개수를 찾으시오. 예상 시간 복잡도는 O(n^2)입니다."
21,coding,"두 개의 정렬된 정수 배열 nums1과 nums2가 주어집니다. nums2를 nums1에 병합하여 하나의 정렬된 배열로 만드시오."
22,coding,"두 개의 소문자 문자열이 주어집니다. 두 문자열을 애너그램으로 만들기 위해 수정해야 할 최소 문자의 개수를 찾으시오. 두 문자열의 길이가 다르면 -1을 반환합니다."
23,dsalg,"링크드 리스트를 뒤집는 코드를 작성하시오."
24,dsalg,"노래 목록이 주어집니다. 랜덤으로 하나의 노래를 선택하여 재생해야 하는데, 조건은 노래를 한 번만 재생할 수 있다는 것입니다. 재생 함수 play()는 노래를 매개변수로 받아 재생합니다."
25,dsalg,"2D 매트릭스를 90도 회전시키되, 추가 공간을 사용하지 않고 회전시키는 알고리즘을 작성하시오."
26,dsalg,"이진 트리가 주어졌을 때, 역 레벨 순서 순회를 하시오."
27,dsalg,"주어진 좌표들에 대해 가장 가까운 두 점 사이의 거리를 찾으시오."
28,dsalg,"배열이 주어졌을 때, 합이 0인 두 원소를 찾아라."
29,dsalg,"스택을 뒤집되, 다른 스택, 큐 또는 배열을 사용하지 않고 뒤집는 방법을 찾으시오."
30,dsalg,"Manacher's 알고리즘을 구현하시오."
31,dsalg,"두 배열의 합이 동일해지도록 교환할 두 원소를 찾으시오. 불가능하면 -1을 반환하시오. 시간 복잡도는 O(n^2)보다 적어야 합니다."
32,dsalg,"TreeMap(Java)을 사용하여 역 레벨 순서 순회를 수행하시오."
33,dsalg,"이진 트리에서 두 노드의 공통 조상을 찾으시오."
34,dsalg,"이진 트리에서 왼쪽을 향한 원소들을 재귀와 비재귀 방법으로 찾아라."
35,dsalg,"수평 및 수직으로 정렬된 2D 배열에서 주어진 원소를 찾으시오."
36,dsalg,"주어진 문자열 'aabbbccc'를 'a2b3c3'으로 압축하시오. 추가 공간을 사용하지 마시오."
37,dsalg,"회전된 정렬된 배열을 피벗을 통해 회전시키시오."
38,dsalg,"배열에서 홀수 번 나타나는 숫자를 찾으시오."
39,dsalg,"두 문자열이 애너그램인지 확인하시오. 만약 문자열이 매우 크다면 어떻게 처리할 것인가?"
40,dsalg,"이진 트리의 레벨 순서 순회를 하시오."
41,dsalg,"이진 트리에서 모든 리프 노드가 동일한 레벨에 있는지 확인하시오."
42,dsalg,"주어진 링크드 리스트가 팰린드롬인지 확인하시오. 모든 엣지 케이스를 처리하는 최적화된 코드를 작성하시오."
43,dsalg,"링크드 리스트에서 K개의 노드 블록을 뒤집으시오."
44,dsalg,"O(1)로 스택에서 최소 값을 찾으시오."
45,dsalg,"카운팅 정렬을 구현하시오."
46,dsalg,"시작일과 종료일이 주어졌을 때, 주어진 날짜가 어느 기간에 속하는지 반환하는 데이터 구조를 설계하시오."
47,dsalg,"배열에서 두 번째로 반복되지 않는 원소를 찾으시오."
48,dsalg,"이진 트리를 복제하시오. 노드 객체는 변경할 수 없습니다."
49,dsalg,"Kadane의 알고리즘을 구현하시오."
50,dsalg,"Trie를 구현하고 insert, search, startsWith 메소드를 작성하시오."
51,dsalg,"비정렬된 배열의 중앙값을 선형 시간에 찾으시오."
52,dsalg,"Dutch National Flag 문제를 해결하는 코드를 작성하시오."
53,dsalg,"최대 힙에서 최소 값을 찾으시오."
54,dsalg,"최소 최근 사용 (LRU) 캐시를 위한 데이터 구조를 설계하고 구현하시오."
55,dsalg,"링크드 리스트에서 홀수 원소를 삭제하시오."
56,dsalg,"두 원소 사이의 최소 차이를 찾되, 차이는 현재 원소와 그 오른쪽에 있는 원소들 간의 차이로 계산하시오."
57,dsalg,"데이터 크기가 10GB이고 내 저장 용량이 1GB인 경우, 압축 알고리즘을 구현하시오."
58,dsalg,"정수 배열에서 마지막으로 반복되는 원소를 O(n) 시간 복잡도로 찾으시오."
59,dsalg,"이진 트리가 이진 검색 트리인지 확인하시오."
60,dbms,"(empId, deptId, Salary) 테이블이 주어졌을 때, 각 부서의 최대 급여를 나열하는 SQL 쿼리를 작성하시오."
61,dbms,"(EmpID, Salary) 테이블이 주어졌을 때, nth 번째 최고 급여를 가져오는 일반적인 SQL 쿼리를 작성하시오."
62,dbms,"매니저 하에 모든 직원을 나열하는 테이블을 설계하시오."
63,dbms,"데이터베이스 정규화란 무엇인가? 장점과 단점은 무엇인가?"
64,dbms,"학생을 나타내는 테이블을 만들고, 학생을 추가, 삭제, 업데이트하는 SQL 명령어 및 GPA를 기준으로 학생을 검색하고 GPA를 기준으로 정렬하는 SQL 명령어를 작성하시오."
65,dbms,"SQL 조인이란 무엇인가? 코스 테이블과 학생 테이블이 주어졌을 때, SQL 조인이 자연스럽게 발생할 수 있는 경우는 무엇인가?"
66,os,"교착 상태란 무엇인가? 교착 상태의 필요 조건은 무엇인가?"
67,os,"Readers-Writers 문제에 대한 알고리즘을 작성하시오."
68,os,"프로세스와 프로세스 테이블이란 무엇인가? 프로세스의 다른 상태는 무엇인가?"
69,os,"가상 메모리란 무엇인가? 그것은 어떻게 구현되는가?"
70,os,"뮤텍스와 세마포어의 차이는 무엇인가?"
71,os,"마이크로 커널과 매크로 커널의 차이는 무엇인가?"
72,misc,"HashMap과 LinkedHashMap의 차이점."
73,misc,"해싱이란 무엇인가? 해시 테이블은 무엇인가?"
74,misc,"Queue 데이터 구조를 사용하지 않고 BST의 레벨 순서 순회 알고리즘."
75,misc,"랜덤 포인터가 있는 링크드 리스트를 복제하시오."
76,misc,"기본 문자열이 주어졌을 때, 입력 문자열이 기본 문자열의 회전인지 확인하시오."
77,misc,"당신의 대학의 훈련 및 배치 센터의 클래스 다이어그램을 그리시오."
