id,category,question
1,coding,"1과 0으로 이루어진 격자가 주어졌을 때, 섬의 면적은 섬에 있는 1의 개수이다 (1들의 그룹). 최대 면적을 가진 섬을 구하시오."
2,coding,"방향 그래프에서 사이클을 탐지하시오."
3,coding,"최소 빈도 캐시(LFU) 구현."
4,dsalg,"배열이 주어졌을 때, 최대 합을 가진 부분 배열을 구하시오. 또한 최대 합을 가진 부분 배열의 위치(인덱스)를 구하시오. 단일 패스로 구하시오."
5,dsalg,"NxN 격자가 주어졌을 때, 좌측 상단(0,0)에서 우측 하단(N-1,N-1)까지의 모든 가능한 경로를 출력하시오. 각 셀에서 허용되는 이동은 아래쪽과 오른쪽만 가능하다. 시간 복잡도를 설명하시오."
6,dbms,"샤딩 기법을 설명하시오."
7,os,"교착상태에 대해 설명하시오."
8,design,"CDN이란 무엇인가. 웹사이트 로딩의 흐름을 예시로 설명하시오."
9,design,"OOPS의 개념."
10,design,"SOLID 원칙을 설명하시오."
11,design,"디자인 패턴이란 무엇이며, 왜 사용하는가?"
12,design,"싱글턴 패턴을 코드로 구현하시오. (동기화 키워드를 사용하지 않고 스레드 안전하게 만들 것)"
13,design,"Java에서 재진입 잠금(Reentrant Lock)이란 무엇인가?"
14,design,"프레임워크란 무엇인가. Spring과 Springboot의 차이점을 설명하시오."
15,design,"Java에서 HashMap의 내부 동작을 설명하시오."
16,design,"Java에서 HashMap을 구현하시오. (제네릭 사용)"
