id,question
1,"32에서 62 사이의 숫자 중 5로 끝나는 숫자를 모두 출력하세요."
2,"10진수를 입력받아 그 숫자의 이진수 표현을 출력하는 프로그램을 작성하세요."
3,"주어진 ASCII 값을 통해 문자열을 출력하세요."
4,"m x n 2D 행렬이 주어졌을 때, 이미지를 90도 반시계방향으로 회전시키는 프로그램을 작성하세요."
5,"중위 표현식을 후위 표현식으로 변환하는 프로그램을 작성하세요."
6,"주어진 행렬의 전치 행렬을 출력하는 프로그램을 작성하세요."
7,"2D 배열이 주어졌을 때, 그 안에서 가장 큰 합을 가지는 부분 배열을 찾으세요."
8,"이진 탐색 트리가 주어졌을 때, kth 작은 원소를 찾는 함수를 작성하세요."
9,"텍스트 파일이 주어졌을 때, 파일에서 단어들을 읽어 들여 각 단어의 출현 횟수와 함께 내림차순으로 정렬하여 상위 10개 단어를 출력하세요."
10,"두 번째로 큰 숫자를 찾으세요."
11,"두 문자열이 서로 애너그램인지 확인하세요."
12,"정렬되지 않은 연속적인 배열에서 빠진 숫자를 찾으세요."
13,"사용자가 주어진 형식으로 입력한 모든 파티에서 공통된 손님 수를 찾으세요."
14,"링크드 리스트를 재귀적으로 뒤집는 함수를 작성하세요."
15,"C/C++에서 O(n) 시간 복잡도로 배열을 정렬하는 프로그램을 작성하세요."
16,"링크드 리스트를 뒤집는 프로그램을 작성하세요."
17,"큐를 구현하세요."
18,"이중 연결 리스트의 장점은 무엇인가요?"
19,"선형 해싱, 이차 해싱, 중간 제곱법 해싱에 대해 설명하세요."
20,"재귀를 이용해 10진수를 2진수로 변환하는 프로그램을 작성하세요."
21,"재귀를 이용해 배열에서 가장 큰 숫자를 찾는 프로그램을 작성하세요."
22,"링크드 리스트를 정렬하는 프로그램을 작성하세요."
23,"리틀 엔디언에서 빅 엔디언으로 변환하는 프로그램을 작성하세요."
24,"링크드 리스트에서 중심 요소를 찾으세요."
25,"이진 탐색 트리의 왼쪽 뷰를 출력하세요."
26,"원형 링크드 리스트를 구현하세요."
27,"링크드 리스트를 사용하여 회문 링크드 리스트와 스택을 구현하는 프로그램을 작성하세요."
28,"링크드 리스트에서 중복을 제거하는 프로그램을 작성하세요."
29,"링크드 리스트에 루프가 있는지 감지하는 프로그램을 작성하세요."
30,"최대 4개의 숫자에 대해 읽기 쉽고 최적화된 코드로 프로그램을 작성하세요."
31,"정규화를 사용하여 데이터베이스 설계를 하세요."
32,"DBMS, RDBMS, ORDBMS의 차이를 설명하세요."
33,"DDL, DML, DCL에 대해 설명하세요."
34,"클러스터링 인덱스란 무엇인가요?"
35,"트랜잭션과 정규화에 대해 설명하세요."
36,"세마포어, 단편화, 정규화에 대해 정의하세요."
37,"교착 상태와 순환 대기 상태에 대해 논의하세요."
38,"페이징과 세그멘테이션에 대해 설명하세요."
39,"트래싱이란 무엇인가요?"
40,"뮤텍스와 이진 세마포어의 차이를 설명하세요."
41,"몇 가지 IPC(프로세스 간 통신) 메커니즘을 이름 지어보세요."
42,"C에서 클래스를 구현하는 방법을 설명하세요."
43,"C와 C++의 차이를 설명하세요."
44,"템플릿이란 무엇인가요?"
45,"C 구조체에서 상속에 대해 자세히 설명하세요."
46,"같은 변수를 두 개의 C 프로그램에서 어떻게 접근할 수 있나요?"
47,"동기화, 비동기화, 임시 처리, 조작(Java)에 대해 정의하세요."
48,"순차 파일을 저장하는 기술에 대해 설명하세요."
49,"exe와 dll의 차이를 설명하세요."
50,"C에서 volatile에 대해 논의하세요."
51,"C에서 const, const 포인터, 포인터에 대한 const의 차이를 설명하세요."
52,"C++에서 가상 함수와 순수 가상 함수가 무엇인지 설명하세요."
53,"듀얼 코어, 캐시 메모리, 프로세서의 처리량에 대해 설명하세요."
54,"Java에서 추상 클래스와 인터페이스의 차이를 설명하세요."
55,"가상 클래스와 정적 클래스의 차이를 설명하세요."
56,"값에 의한 호출, 주소에 의한 호출, 참조에 의한 호출의 차이를 설명하세요."
57,"C++에서 연산자 오버로딩을 구현하는 방법을 설명하세요."
