id,category,question
1,Coding,"양쪽 끝에서 푸시와 팝을 할 수 있는 스택을 설계하세요 (30분). 이를 Linked List와 배열을 사용하여 해결하세요. 코드 검증을 위한 테스트 케이스를 작성하세요."
2,Coding,"자율 주행 차를 설계하세요. (30분) 이 질문은 우리가 얼마나 깊게 사고할 수 있는지, 가능한 모든 사용 사례와 시나리오를 고려할 수 있는지 체크하려는 목적이었습니다."
3,Coding,"간단한 브루트 포스 접근법을 사용하여, 호텔 체크인 및 체크아웃 목록(한 달 간의 체크인/체크아웃 인원수 목록)을 주고, 체크인과 체크아웃이 가장 많은 날짜를 찾으세요."
4,Coding,"푸시, 팝, 최소값 찾기 연산이 O(1) 시간에 수행되는 스택을 설계하세요."
5,Coding,"외부 병합 정렬(External Merge Sort)에 대해 설명하고, 가능하다면 이를 최적화하세요."
6,Coding,"문자열 s1과 다른 문자열 s2가 주어졌을 때, s1에서 s2의 모든 문자를 포함하는 가장 작은 부분 문자열을 구하세요. (가장 효율적인 방법)"
7,Tech,"숫자의 제곱/제곱근을 구하는 가장 효율적인 알고리즘을 작성하세요."
8,Tech,"숫자가 소수인지 아닌지 판별하는 가장 효율적인 알고리즘을 작성하세요."
9,Tech,"비트 레벨에서 숫자가 2의 거듭제곱인지 아닌지를 어떻게 판단할 수 있나요?"
10,Tech,"연결 리스트를 반복적 및 재귀적으로 뒤집는 방법을 작성하세요."
11,Tech,"스택 공간이 오버플로우되었는지 확인하는 방법은?"
12,Tech,"변수에 대해 malloc과 calloc을 호출할 때 메모리의 어떤 부분이 할당되나요?"
13,DBMS,"다음 영역에서 사용되는 주요 데이터 구조는 무엇인가요: RDBMS, 네트워크 데이터 모델, 계층적 데이터 모델?"
14,DBMS,"상관 서브쿼리(Correlated Subquery)란 무엇인가요?"
15,OS,"세마포어(semaphore)란 무엇인가요? 자세히 설명하세요."
16,OS,"인터럽트란 무엇인가요? 프로세서는 인터럽트를 어떻게 처리하나요?"
17,OS,"메모리 관리 장치(MMU)의 정확한 역할은 무엇인가요?"
18,OS,"운영 체제 개념(스케줄링, 페이징, 세그멘테이션, 가상 메모리, 물리적 메모리, 캐시, 스레드, 세마포어 등)에 대해 물어봤습니다."
19,OS,"캐시와 TLB는 무엇인가요?"
20,OS,"작업 관리자를 사용하지 않고 애플리케이션이 실행되는 동안 스택 공간을 어떻게 측정할 수 있을까요? 가능한 경우 알고리즘을 작성하세요."
21,OS,"컴퓨터에서 게임이 실행될 때, 게임은 어떤 자원을 사용하나요? 펌웨어, 미들웨어, 드라이버, 애플리케이션 특성, 스택 등."
22,Miscellaneous,"프로젝트와 인턴십 경험."
23,Miscellaneous,"네트워크 및 스위칭 서브시스템(Network and Switching Subsystem)이란 무엇인가요?"
26,Miscellaneous,"당신의 최근 프로젝트에 대해 말해주세요."
