id,question
1,"배열 A가 주어졌을 때, 배열 A를 B와 C 두 개의 배열로 나누세요. 배열 B의 원소 합은 배열 C의 원소 합보다 크거나 같고, 배열 B는 가능한 최소한의 원소를 가져야 합니다."
2,"배열이 주어졌을 때, 배열 내에서 반복되는 원소의 개수를 반환하세요."
3,"배열이 주어졌을 때, 가장 긴 증가하는 부분 수열(LIS)을 찾으세요."
4,"두 개의 정렬된 배열이 주어졌을 때, 두 배열의 중앙값을 찾으세요."
5,"배열 A가 주어졌을 때, 배열을 지그재그 방식으로 정렬하세요. 지그재그 방식이란 'A[0] < A[1] > A[2] < A[3] > A[4] ....'와 같은 방식입니다."
6,"병합 정렬(Merge Sort)에 대해 설명하세요."
7,"이진 트리와 AVL 트리의 차이점에 대해 설명하세요."
8,"해시맵의 내부 구현에서 사용되는 데이터 구조는 무엇인가요?"
9,"한 회사의 한 달간의 주식 가격이 주어졌을 때, 주식은 언제든지 사고 팔 수 있지만, 사고 나서 팔아야 한다는 조건이 있습니다. 'n'번의 사고 팔기를 통해 이익을 최대화하려면 어떻게 해야 하나요?"
10,"0과 1로 이루어진 무한히 정렬된 이진 배열이 주어졌을 때, 첫 번째로 1이 나타나는 인덱스를 찾으세요."
11,"주어진 문자열의 모든 순열을 찾으세요."
12,"배열이 주어졌을 때, 첫 번째로 중복되지 않는 원소의 인덱스를 반환하세요."
13,"job_id, job_start_date, job_end_date가 있는 작업 테이블이 주어졌을 때, 주어진 시간 구간(예: 2019년 8월 10일부터 2019년 9월 10일까지) 동안 활성화된 모든 작업을 찾으세요."
14,"프로세스와 스레드의 차이점에 대해 설명하세요."
15,"다양한 CPU 스케줄링 알고리즘에 대해 설명하세요."
