id,category,question
1,Coding,"주어진 배열에서 서로 다른 요소들로, 배열을 지그재그 형태로 재배열하는 프로그램을 작성하세요. O(n) 시간 복잡도 내에 해결해야 하며, 변환된 배열은 a < b > c < d > e < f 형태여야 합니다."
2,Coding,"배열에서 k개의 최대값을 찾아 출력하는 프로그램을 작성하세요."
3,Coding,"길이가 n인 막대와 n보다 작은 크기의 모든 조각 가격이 포함된 배열이 주어집니다. 막대를 잘라서 판매했을 때 얻을 수 있는 최대 가치를 구하세요."
4,Coding,"다양한 동전 단위와 총 금액이 주어졌을 때, 그 금액을 만들기 위한 최소 동전 수를 구하는 프로그램을 작성하세요."
5,Coding,"주어진 연결 리스트에서 k개씩 노드를 반전시키고 수정된 리스트를 반환하는 프로그램을 작성하세요."
6,Coding,"주어진 문자열을 회문 문자열로 변환하는 최소 삽입 횟수를 구하는 프로그램을 작성하세요."
7,Coding,"n*n 크기의 매트릭스가 주어집니다. 각 셀은 0, 1, -1을 포함하고 있습니다. 0은 다이아몬드가 없고 경로가 있다는 의미이고, 1은 다이아몬드가 있는 위치로 경로가 있다는 의미입니다. -1은 경로가 차단된 곳을 나타냅니다. 이제 (0,0)에서 출발하여 마지막 셀에 도달한 후, 다시 (0,0)으로 돌아가며 최대 다이아몬드를 수집하세요. 마지막 셀로 갈 때는 오른쪽과 아래로만 이동할 수 있으며, 돌아올 때는 왼쪽과 위로만 이동할 수 있습니다."
8,Coding,"슈퍼 스택을 만들고 각 연산 후 'peak' 값을 출력하는 프로그램을 작성하세요. n은 연산의 횟수입니다. POP: 'peak'의 값을 출력하며, pop 후 더 이상 값이 없으면 'EMPTY'를 출력하세요. PUSH d: 'peak' 뒤에 새 값을 넣고, 'peak' 값을 출력하세요. INC x d: 인덱스 0부터 x까지의 요소에 새 값을 더하고 'peak' 값을 출력하세요."
9,Coding,"연결된 도시들과 연결되지 않은 도시들에 대한 그래프가 주어지고, 연결되지 않은 도시들을 연결하는 비용이 제공됩니다. 모든 도시를 연결하는 최소 비용을 찾는 프로그램을 작성하세요."
10,Tech,"이진 트리가 주어졌을 때, 트리의 상단, 하단, 왼쪽, 오른쪽 뷰를 출력하는 프로그램을 작성하세요."
11,Tech,"두 개의 스택으로 큐를 구현하는 프로그램을 작성하세요."
12,Tech,"레벨 순서로 트리를 순회하는 프로그램을 작성하세요."
